Client,Received,Stream Tag,Cuid,Sch_Code,AnalyteCode,Result,AnaUnitCode,AnalyteStatus,LFL,LWL,ExpectedValue,UWL,UFL,Exported
AMIS0463,,,,,,,,,,,,,,
WS_SMR,6/20/2023 11:31,AMIS0463,8905259,ICP_CPGM_A,AU,13.3383,PPM,QWH,11.95,12.25718447,12.79,12.25718447,13.62,6/21/2023 11:05
WS_SMR,6/20/2023 11:31,AMIS0463,8905259,ICP_CPGM_A,IR,5.5615,PPM,CPL,5.3,5.475533981,5.78,5.475533981,6.26,6/21/2023 11:05
WS_SMR,6/20/2023 11:31,AMIS0463,8905259,ICP_CPGM_A,PD,146.8375,PPM,QFH,135.52,137.5825243,141.16,137.5825243,146.79,6/21/2023 11:05
WS_SMR,6/20/2023 11:31,AMIS0463,8905259,ICP_CPGM_A,PT,132.604,PPM,QFH,120.05,122.1527508,125.8,122.1527508,131.55,6/21/2023 11:05
WS_SMR,6/20/2023 11:31,AMIS0463,8905259,ICP_CPGM_A,RH,20.0454,PPM,QWH,18.44,18.79106796,19.4,18.79106796,20.35,6/21/2023 11:05
WS_SMR,6/20/2023 11:31,AMIS0463,8905259,ICP_CPGM_A,RU,26.592,PPM,QFL,27.07,27.47226537,28.17,27.47226537,29.26,6/21/2023 11:05
WS_SMR,7/18/2023 19:28,AMIS0463,8909527,ICP_CBM_A,NI,11.41,%,CPL,11.17,11.37113269,11.72,11.37113269,12.27,7/19/2023 10:02
WS_SMR,7/18/2023 19:28,AMIS0463,8909527,ICP_CBM_A,CR2O3,1.878,%,CPL,,,,,,7/19/2023 10:02
WS_SMR,7/18/2023 19:28,AMIS0463,8909527,ICP_CBM_A,CU,7.92,%,QFL,7.98,8.064110032,8.21,8.064110032,8.44,7/19/2023 10:02
WS_SMR,7/18/2023 19:29,AMIS0463,8909532,ICP_CBM_B,CR,1.32,%,CPL,1.17,1.224854369,1.32,1.224854369,1.45,7/19/2023 10:02
WS_SMR,7/20/2023 14:14,AMIS0463,8909821,ICP_CPGM_A,AU,13.3055,PPM,CPL,11.95,12.25718447,12.79,12.25718447,13.62,7/21/2023 8:50
